GEO_ID,NAME,B08130_001E,B08130_001M,B08130_002E,B08130_002M,B08130_003E,B08130_003M,B08130_004E,B08130_004M,B08130_005E,B08130_005M,B08130_006E,B08130_006M,B08130_007E,B08130_007M,B08130_008E,B08130_008M,B08130_009E,B08130_009M,B08130_010E,B08130_010M,B08130_011E,B08130_011M,B08130_012E,B08130_012M,B08130_013E,B08130_013M,B08130_014E,B08130_014M,B08130_015E,B08130_015M,B08130_016E,B08130_016M,B08130_017E,B08130_017M,B08130_018E,B08130_018M,B08130_019E,B08130_019M,B08130_020E,B08130_020M,B08130_021E,B08130_021M,B08130_022E,B08130_022M,B08130_023E,B08130_023M,B08130_024E,B08130_024M,B08130_025E,B08130_025M,B08130_026E,B08130_026M,B08130_027E,B08130_027M,B08130_028E,B08130_028M,B08130_029E,B08130_029M,B08130_030E,B08130_030M,B08130_031E,B08130_031M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Worked in state of residence,Margin of Error!!Total!!Worked in state of residence,Estimate!!Total!!Worked in state of residence!!Worked in county of residence,Margin of Error!!Total!!Worked in state of residence!!Worked in county of residence,Estimate!!Total!!Worked in state of residence!!Worked outside county of residence,Margin of Error!!Total!!Worked in state of residence!!Worked outside county of residence,Estimate!!Total!!Worked outside state of residence,Margin of Error!!Total!!Worked outside state of residence,"Estimate!!Total!!Car, truck, or van - drove alone","Margin of Error!!Total!!Car, truck, or van - drove alone","Estimate!!Total!!Car, truck, or van - drove alone!!Worked in state of residence","Margin of Error!!Total!!Car, truck, or van - drove alone!!Worked in state of residence","Estimate!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked in county of residence","Margin of Error!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked outside county of residence","Margin of Error!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Car, truck, or van - drove alone!!Worked outside state of residence","Margin of Error!!Total!!Car, truck, or van - drove alone!!Worked outside state of residence","Estimate!!Total!!Car, truck, or van - carpooled","Margin of Error!!Total!!Car, truck, or van - carpooled","Estimate!!Total!!Car, truck, or van - carpooled!!Worked in state of residence","Margin of Error!!Total!!Car, truck, or van - carpooled!!Worked in state of residence","Estimate!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked in county of residence","Margin of Error!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked outside county of residence","Margin of Error!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Car, truck, or van - carpooled!!Worked outside state of residence","Margin of Error!!Total!!Car, truck, or van - carpooled!!Worked outside state of residence",Estimate!!Total!!Public transportation (excluding taxicab),Margin of Error!!Total!!Public transportation (excluding taxicab),Estimate!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence,Margin of Error!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence,Estimate!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked in county of residence,Margin of Error!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked in county of residence,Estimate!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked outside county of residence,Margin of Error!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked outside county of residence,Estimate!!Total!!Public transportation (excluding taxicab)!!Worked outside state of residence,Margin of Error!!Total!!Public transportation (excluding taxicab)!!Worked outside state of residence,Estimate!!Total!!Walked,Margin of Error!!Total!!Walked,Estimate!!Total!!Walked!!Worked in state of residence,Margin of Error!!Total!!Walked!!Worked in state of residence,Estimate!!Total!!Walked!!Worked in state of residence!!Worked in county of residence,Margin of Error!!Total!!Walked!!Worked in state of residence!!Worked in county of residence,Estimate!!Total!!Walked!!Worked in state of residence!!Worked outside county of residence,Margin of Error!!Total!!Walked!!Worked in state of residence!!Worked outside county of residence,Estimate!!Total!!Walked!!Worked outside state of residence,Margin of Error!!Total!!Walked!!Worked outside state of residence,"Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked in county of residence","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked outside county of residence","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked outside state of residence","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked outside state of residence",Estimate!!Total!!Worked at home,Margin of Error!!Total!!Worked at home
0500000US01001,"Autauga County, Alabama",24325,553,24204,569,8842,682,15362,767,121,76,20911,765,20821,757,7082,663,13739,812,90,57,2329,450,2321,447,905,266,1416,385,8,44,14,16,14,16,14,16,0,27,0,27,145,109,137,108,126,106,11,14,8,13,325,190,310,191,114,83,196,163,15,21,601,179
0500000US01003,"Baldwin County, Alabama",87837,1690,82091,1629,64615,1557,17476,1109,5746,806,74415,1978,69922,1929,53498,1885,16424,1066,4493,605,6693,907,5821,854,4859,786,962,235,872,432,95,87,71,80,58,78,13,21,24,38,673,241,645,236,628,235,17,28,28,36,1000,356,671,297,611,290,60,70,329,146,4961,688
0500000US01005,"Barbour County, Alabama",8683,450,8321,450,6520,440,1801,232,362,100,7242,413,6913,413,5338,408,1575,203,329,90,966,192,961,193,785,160,176,94,5,11,22,35,22,35,0,21,22,35,0,21,188,96,180,93,176,93,4,7,8,12,150,74,130,66,106,65,24,22,20,31,115,50
0500000US01007,"Bibb County, Alabama",8024,477,7969,479,3147,452,4822,489,55,39,6930,504,6879,504,2717,408,4162,450,51,40,766,290,766,290,172,118,594,275,0,21,53,46,49,47,24,32,25,31,4,7,21,27,21,27,21,27,0,21,0,21,136,82,136,82,95,77,41,36,0,21,118,71
0500000US01009,"Blount County, Alabama",21230,713,21105,713,6981,557,14124,674,125,43,18426,719,18349,714,5747,451,12602,711,77,38,2162,407,2131,410,670,201,1461,315,31,31,29,42,29,42,5,9,24,40,0,27,93,70,93,70,93,70,0,27,0,27,79,41,62,36,25,24,37,28,17,19,441,153
0500000US01011,"Bullock County, Alabama",4290,386,4252,388,2301,376,1951,319,38,29,3135,417,3124,416,1477,311,1647,364,11,14,674,238,664,238,438,183,226,133,10,12,11,18,11,18,0,18,11,18,0,18,265,194,265,194,256,190,9,16,0,18,75,129,58,128,0,18,58,128,17,23,130,107
0500000US01013,"Butler County, Alabama",7623,329,7425,322,5708,354,1717,231,198,98,6370,353,6280,354,4844,346,1436,204,90,55,963,211,860,188,596,155,264,137,103,80,0,21,0,21,0,21,0,21,0,21,67,35,67,35,63,35,4,7,0,21,72,39,67,39,54,34,13,14,5,7,151,63
0500000US01015,"Calhoun County, Alabama",46289,1082,45056,1049,35852,1312,9204,738,1233,245,39356,1027,38593,995,30731,1179,7862,675,763,181,4238,470,3937,453,2704,390,1233,246,301,139,115,70,87,60,87,60,0,27,28,30,585,166,576,169,549,165,27,36,9,13,514,179,382,149,300,131,82,78,132,90,1481,332
0500000US01017,"Chambers County, Alabama",14241,463,9836,509,5785,446,4051,386,4405,391,12405,466,8293,459,4889,441,3404,339,4112,385,1377,277,1096,236,505,146,591,191,281,141,23,23,11,15,11,15,0,24,12,19,88,83,88,83,68,73,20,31,0,24,68,56,68,56,32,35,36,45,0,24,280,120
